Date,Entry,Win,Exit,Pct_Change,Gains(%),Stake_In,Stake_Out,Net_Profits,Profit_YTD,ROI(%)
2021-12-27,50701.44,0,47655.16,0.06008271165473798,-0.06008271165473798,1000,939.917288345262,-60.08271165473798,-60.08271165473798,-0.060082711654737976
2021-12-28,47543.74,0,47396.03,0.0031068233168025723,-0.0031068233168025723,939.917288345262,936.9971313979651,-2.9201569472969595,-63.00286860203494,-0.06300286860203494
2021-12-29,46464.66,1,47647.83,0.025463868669220825,0.025463868669220825,936.9971313979652,960.8567032953196,23.859571897354385,-39.14329670468044,-0.03914329670468044
2021-12-31,46216.93,1,46801.38,0.012645798844709007,0.012645798844709007,960.8567032953196,973.0075038837824,12.150800588462857,-26.99249611621758,-0.026992496116217582
2022-01-01,47722.65,1,47570.0,0.0031986907684296963,0.0031986907684296963,973.0075038837824,976.1198540040683,3.112350120285896,-23.880145995931684,-0.023880145995931683
2022-01-03,46446.1,1,46322.12,0.002669330686537641,0.002669330686537641,976.1198540040684,978.7254406841001,2.6055866800317062,-21.274559315899864,-0.021274559315899864
2022-01-04,45832.01,0,45683.53,0.003239657174101751,-0.003239657174101751,978.7254406841,975.5547057887119,-3.1707348953881365,-24.445294211288115,-0.024445294211288115
2022-01-05,43451.13,1,43334.45,0.0026853156638273917,0.0026853156638273917,975.554705788712,978.174378121087,2.6196723323749893,-21.82562187891301,-0.02182562187891301
2022-01-06,43082.31,0,41560.65,0.03531983312872491,-0.03531983312872491,978.174378121087,943.625422315056,-34.54895580603102,-56.37457768494403,-0.05637457768494403
2022-01-07,41566.48,1,41038.77,0.012695566235101128,0.012695566235101128,943.625422315056,955.605281365182,11.979859050126038,-44.39471863481799,-0.04439471863481799
2022-01-09,41864.62,0,41569.55,0.0070481948719467585,-0.0070481948719467585,955.605281365182,948.8699891214587,-6.735292243723279,-51.13001087854127,-0.05113001087854127
2022-01-10,41822.49,0,42768.57,0.022621321686011563,-0.022621321686011563,948.8699891214588,927.4052958593401,-21.46469326211877,-72.59470414065993,-0.07259470414065992
2022-01-11,42729.29,1,43621.88,0.02088941800811566,0.02088941800811566,927.40529585934,946.7782527474859,19.37295688814595,-53.22174725251409,-0.05322174725251409
2022-01-12,43902.66,0,42712.17,0.02711658017987988,-0.02711658017987988,946.778252747486,921.1048643442922,-25.673388403193826,-78.8951356557078,-0.0788951356557078
2022-01-14,43059.96,1,43375.86,0.0073362817801038704,0.0073362817801038704,921.1048643442922,927.8623491781462,6.7574848338540505,-72.13765082185375,-0.07213765082185375
2022-01-16,43071.66,0,42224.42,0.01967047473907449,-0.01967047473907449,927.8623491781462,909.6108562772993,-18.251492900846984,-90.38914372270074,-0.09038914372270074
2022-01-17,42201.62,1,41634.54,0.01343739884866983,0.01343739884866983,909.6108562772991,921.8336601501773,12.222803872878103,-78.16633984982275,-0.07816633984982274
2022-01-18,42352.12,0,41810.64,0.012785192335118128,-0.012785192335118128,921.8336601501773,910.0478395041713,-11.78582064600596,-89.9521604958287,-0.0899521604958287
2022-01-19,41660.01,0,42976.47,0.03160008843012758,-0.03160008843012758,910.0478395041712,881.2902473001928,-28.757592203978334,-118.70975269980715,-0.11870975269980716
2022-01-20,40680.91,1,38358.92,0.05707812337531302,0.05707812337531302,881.2902473001928,931.5926407650534,50.30239346486053,-68.40735923494663,-0.06840735923494662
2022-01-21,36445.31,0,34649.0,0.04928782331663519,-0.04928782331663519,931.5926407650534,885.6764672839478,-45.9161734811056,-114.32353271605223,-0.11432353271605222
2022-01-22,35071.42,1,34902.27,0.00482301543536023,0.00482301543536023,885.6764672839478,889.9480985563936,4.271631272445802,-110.05190144360643,-0.11005190144360642
2022-01-23,36244.55,0,35946.86,0.008213372769147425,-0.008213372769147425,889.9480985563936,882.6386230777559,-7.309475478637637,-117.36137692224406,-0.11736137692224406
2022-01-24,36660.35,1,37371.02,0.019385248640561212,0.019385248640561212,882.6386230777559,899.7487922458808,17.110169168124912,-100.25120775411915,-0.10025120775411915
2022-01-25,36958.32,1,37990.19,0.02791982968922837,0.02791982968922837,899.7487922458808,924.8696252884747,25.12083304259386,-75.13037471152529,-0.0751303747115253
2022-01-26,36809.34,0,36232.02,0.01568406279493193,-0.01568406279493193,924.8696252884748,910.3639120083252,-14.505713280149621,-89.6360879916748,-0.0896360879916748
