date,close,Volume BTC,Volume USDT,7day_MA,50day_MA,200day_MA,24h_vBTC,24h_vUSDT,Label,7day_wma,50day_wma,200day_wma
2018-09-26 12:00:00,6452.115,1543.675,9997567.94,6577.944583333335,6561.698358333334,7390.48801875,16023.49,103770864.05,1.0,6527.313964497041,6732.69161576464,8070.491507639033
2018-09-27 01:00:00,6503.8,1407.06,9169317.6,6579.006964285714,6561.6673,7389.493566666666,16072.69,104177029.645,1.0,6527.336299309665,6732.291142388288,8069.810690685533
2018-09-27 02:00:00,6512.935,1391.14,9050773.03,6580.345119047619,6561.5880916666665,7388.481149999999,16143.985,104695461.705,0.0,6527.463244575937,6731.906201734665,8069.133475386204
2018-09-27 03:00:00,6503.72,1063.475,6920079.984999999,6581.489345238095,6561.542341666667,7387.513316666667,15713.075,101942829.495,0.0,6527.476457100591,6731.5061881765205,8068.452214395438
2018-09-27 04:00:00,6496.275,927.785,6033148.635,6582.556011904761,6561.741625000001,7386.502322916666,15352.69,99626353.165,0.0,6527.396651873765,6731.094064293644,8067.76764758384
2018-09-27 05:00:00,6493.0650000000005,694.835,4515671.73,6583.726071428571,6561.920233333333,7385.3628625,14666.785,95180276.34,1.0,6527.276032685265,6730.676884263113,8067.081539647122
2018-09-27 06:00:00,6504.94,904.005,5882400.69,6584.934226190476,6562.085466666666,7384.242208333332,14419.56,93586457.71,1.0,6527.29211256692,6730.279778386068,8066.4001717524125
2018-09-27 07:00:00,6565.264999999999,1593.51,10461827.64,6586.717083333333,6562.366758333334,7383.156158333332,14567.935,94686256.85,1.0,6528.017272471119,6729.983395156813,8065.743726334356
2018-09-27 08:00:00,6577.844999999999,1851.25,12258781.775,6589.033988095238,6562.633908333333,7382.070689583334,15289.14,99630471.905,1.0,6528.880820653703,6729.708176588954,8065.092307187739
2018-09-27 09:00:00,6595.549999999999,1546.615,10198685.5,6590.903273809524,6562.961991666667,7381.044045833332,15561.28,101578216.075,0.0,6529.944432586643,6729.462612010824,8064.448050381865
2018-09-27 10:00:00,6574.29,1712.93,11317336.865,6592.107380952381,6563.304658333334,7379.986460416668,16037.915,104908074.575,1.0,6530.7464211749775,6729.181811060229,8063.7947245461
2018-09-27 11:00:00,6589.5,1264.87,8342162.189999999,6593.649761904761,6563.622416666667,7378.865158333335,15901.15,104147753.58,0.0,6531.720421245422,6728.926544844574,8063.1475263243765
2018-09-27 12:00:00,6513.16,1325.8000000000002,8622814.43,6594.728630952381,6563.563583333334,7377.897725000002,15683.275,102773000.07,1.0,6531.7831132009005,6728.5443512905895,8062.4683169331065
2018-09-28 01:00:00,6688.46,1476.45,9848463.7,6595.604107142857,6564.091683333333,7376.659583333333,15752.665,103452146.17,0.0,6533.914926739928,6728.454399861225,8061.861926805178
2018-09-28 02:00:00,6680.6900000000005,1861.08,12454451.24,6596.104821428572,6564.550225,7375.519639583334,16222.605,106855824.38,1.0,6535.939145533955,6728.351488252845,8061.252079486479
2018-09-28 03:00:00,6687.625,1459.725,9751052.36,6596.9316071428575,6565.065833333333,7374.434045833334,16618.855,109686796.755,0.0,6538.0327419695695,6728.260120628643,8060.64490381344
2018-09-28 04:00:00,6685.43,1434.41,9585897.815,6597.56,6565.552716666666,7373.317141666667,17125.48,113239545.935,1.0,6540.087933220625,6728.165081827644,8060.036595057453
2018-09-28 05:00:00,6688.385,1184.565,7917485.82,6598.378928571428,6566.020358333334,7372.20261875,17615.21,116641360.025,1.0,6542.16688715131,6728.074938252845,8059.429298508992
2018-09-28 06:00:00,6692.62,1437.615,9651054.45,6598.945535714285,6566.493083333333,7371.073895833332,18148.82,120410013.785,1.0,6544.283186108763,6727.991820677213,8058.823546755885
2018-09-28 07:00:00,6736.495,2876.75,19246687.11,6599.397619047618,6567.072075,7370.02099375,19432.06,129194873.255,0.0,6546.906309171598,6727.981764675271,8058.235854138893
2018-09-28 08:00:00,6695.33,1290.91,8672535.44,6599.286488095238,6567.55265,7368.9448583333315,18871.72,125608626.92,0.0,6549.028249154692,6727.903090778518,8057.6307915469015
2018-09-28 09:00:00,6654.96,2325.205,15466507.925,6598.548035714286,6567.884141666666,7367.776945833332,19650.31,130876449.345,0.0,6550.65677338687,6727.75717800444,8057.008694779733
2018-09-28 10:00:00,6644.325000000001,1544.63,10270687.52,6597.690297619048,6568.181950000001,7366.605702083333,19482.01,129829800.0,1.0,6552.146244012397,6727.593587066333,8056.381953411179
2018-09-28 11:00:00,6646.155,1307.6,8699155.4,6596.446607142857,6568.558358333334,7365.423214583333,19524.74,130186793.21,1.0,6553.645623062838,6727.433087593672,8055.7557665955
2018-09-28 12:00:00,6659.45,1884.8,12569498.065,6596.865654761906,6569.213958333334,7364.156970833334,20083.74,134133476.845,0.0,6555.289786559595,6727.294794483763,8055.134911034596
2018-09-29 01:00:00,6529.935,1676.0,10975004.475,6594.457142857144,6569.258675,7363.089652083335,20283.29,135260017.62,1.0,6555.387450338124,6726.940797169025,8054.459883555942
2018-09-29 02:00:00,6538.235,1220.595,7974365.67,6592.4628571428575,6569.416975,7362.024545833334,19642.805,130779932.05,1.0,6555.5833618624965,6726.600913169581,8053.788122113015
2018-09-29 03:00:00,6544.950000000001,1492.51,9771190.085,6590.4779761904765,6569.567133333333,7360.983127083333,19675.59,130800069.775,0.0,6555.857441885038,6726.272501554259,8053.118966734794
2018-09-29 04:00:00,6534.48,1337.705,8743039.995000001,6588.339345238095,6569.797083333333,7359.839472916667,19578.885,129957211.955,1.0,6556.005826289098,6725.9269295656395,8052.445259576997
2018-09-29 05:00:00,6549.27,1028.2,6722687.130000001,6586.381785714287,6570.007425,7358.722504166667,19422.52,128762413.265,1.0,6556.32887468301,6725.60627169026,8051.777526545688
2018-09-29 06:00:00,6553.0,1029.77,6724556.015000001,6584.20994047619,6570.222191666667,7357.608166666667,19014.675,125835914.83,1.0,6556.6939704846445,6725.292065875659,8051.111155766161
2018-09-29 07:00:00,6567.200000000001,995.93,6532369.26,6582.3664285714285,6570.453916666666,7356.537318749999,17133.855,113121596.98,1.0,6557.223622147083,6725.001754239524,8050.450511491528
2018-09-29 08:00:00,6568.075000000001,911.365,5985787.515,6580.977261904762,6570.905641666667,7355.480277083333,16754.31,110434849.055,1.0,6557.759881656803,6724.713134499029,8049.790036529281
2018-09-29 09:00:00,6576.96,1338.17,8792320.68,6579.526250000001,6571.523258333334,7354.392970833333,15767.275,103760661.81,1.0,6558.398110030995,6724.439516895643,8049.133066839809
2018-09-29 10:00:00,6585.225,949.88,6251190.76,6578.117261904762,6572.140775,7353.378808333334,15172.525,99741165.05,1.0,6559.129817202029,6724.179858430475,8048.479344027285
2018-09-29 11:00:00,6590.67,1449.325,9565967.905,6576.876250000001,6572.731458333334,7352.334316666666,15314.25,100607977.555,1.0,6559.921296139758,6723.929475777131,8047.827691931367
2018-09-29 12:00:00,6603.74,1129.045,7447164.115,6575.206785714286,6572.857825,7351.297741666667,14558.495,95485643.605,1.0,6560.862417582417,6723.701045906191,8047.181287553374
2018-09-30 01:00:00,6618.754999999999,991.915,6568516.1450000005,6574.08130952381,6573.714341666667,7350.321156249999,13874.41,91079155.275,0.0,6561.97453085376,6723.49780097835,8046.540941470961
2018-09-30 02:00:00,6614.23,1218.59,8058539.625,6573.0898809523815,6574.526341666666,7349.331833333333,13872.405,91163329.23,0.0,6563.023818329108,6723.286689217319,8045.8985067776675
2018-09-30 03:00:00,6593.645,1003.115,6630914.85,6571.838392857144,6575.330466666666,7348.334235416666,13383.010000000002,88023053.99499999,0.0,6563.82058713722,6723.041020531501,8045.247293339496
2018-09-30 04:00:00,6588.7,1258.39,8302059.66,6570.384107142857,6576.137491666667,7347.431860416666,13303.695,87582073.66000001,1.0,6564.5508414342075,6722.786855453788,8044.593819679925
2018-09-30 05:00:00,6591.865,842.96,5552353.734999999,6568.991488095238,6576.677983333333,7346.531379166668,13118.455,86411740.265,1.0,6565.3100394477315,6722.537719421315,8043.941464299102
2018-09-30 06:00:00,6603.855,1162.035,7679235.130000001,6567.757916666666,6577.301600000001,7345.657950000001,13250.72,87366419.38,0.0,6566.2025866441245,6722.3082802942,8043.29390267696
2018-09-30 07:00:00,6590.85,811.845,5366429.965,6566.371011904761,6577.879141666666,7344.78624375,13066.635,86200480.08500001,0.0,6566.932166807552,6722.056931126838,8042.640723127561
2018-09-30 08:00:00,6584.4400000000005,1442.67,9489222.03,6564.887619047619,6578.432941666666,7343.903572916666,13597.94,89703914.60000001,1.0,6567.577853972952,6721.794564592008,8041.984675057714
2018-09-30 09:00:00,6588.875,850.995,5604265.19,6563.192738095238,6579.005166666666,7343.119847916667,13110.765,86515859.11,1.0,6568.269663637644,6721.539092527059,8041.330278570004
2018-09-30 10:00:00,6636.48,1614.545,10685480.08,6561.926309523808,6579.646808333334,7342.365075,13775.43,90950148.43,0.0,6569.517953648917,6721.362306321122,8040.695514236618
2018-09-30 11:00:00,6627.25,1314.28,8723027.120000001,6560.731428571428,6580.412216666667,7341.6170375,13640.385,90107207.645,0.0,6570.647739151872,6721.169568172355,8040.056701781311
